年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,資料輸入人員,零售業,1879,31928,28642,3286
2019,收帳、收費人員(含帳款催收),零售業,— ,— ,— ,— 
2019,接待員及服務台事務人員,零售業,6409,42390,37335,5055
2019,總機人員,零售業,390,44114,35034,9080
2019,電話及網路客服人員,零售業,3948,41235,31308,9927
2019,統計調查訪談人員,零售業,253,62485,46978,15507
2019,會計助理、簿記、出納,零售業,25357,36855,32167,4688
2019,存貨事務人員,零售業,7020,38152,32395,5757
2019,生產及物料規劃事務人員,零售業,692,35841,34374,1467
2019,運輸事務人員(含稽查、調度、管理、航務),零售業,… ,… ,… ,… 
2019,人事事務人員,零售業,2282,47297,40381,6916
2019,服務及銷售工作人員,零售業,298104,33516,29305,4211
2019,廚師,零售業,1157,39982,37733,2249
2019,餐飲服務人員,零售業,… ,… ,… ,… 
2019,美髮、美容及造型設計人員,零售業,1630,31806,30154,1652
2019,宿舍舍監,零售業,… ,… ,… ,… 
2019,按摩師,零售業,… ,… ,… ,… 
2019,商店銷售人員(含百貨公司樓管人員),零售業,210219,34328,29695,4633
2019,收銀員及售票員,零售業,41239,32259,30223,2036
2019,展售說明人員,零售業,12941,37326,31811,5515
2019,電話及網路行銷人員,零售業,2531,30734,29641,1093
2019,加油站服務員,零售業,22177,27152,22559,4593
2019,餐食服務櫃台工作人員,零售業,4925,25326,24002,1324
2019,建築物管理員、保全及警衛人員,零售業,1104,47245,38895,8350
2019,技藝、機械設備操作及組裝人員,零售業,75030,40213,36059,4154
2019,園藝及農牧業生產人員,零售業,… ,… ,… ,… 
2019,砌石、裁石及石雕人員,零售業,— ,— ,— ,— 
2019,玻璃安裝人員,零售業,… ,… ,… ,… 
2019,管道裝設人員(含檢修),零售業,… ,… ,… ,… 
2019,空調及冷凍機械裝修人員,零售業,2455,53952,32491,21461
2019,金屬工具機設定及操作人員,零售業,— ,— ,— ,— 
2019,車輛維修人員(含自行車、機車、汽車、火車),零售業,28553,45462,39609,5853
2019,產業用機器維修人員,零售業,1103,55517,44683,10834
2019,精密儀器製造及修理人員,零售業,— ,— ,— ,— 
2019,陶瓷製品有關工作人員(含磚瓦),零售業,— ,— ,— ,— 
2019,各種材質手工藝人員,零售業,— ,— ,— ,— 
2019,美編及印刷前置工作人員,零售業,655,30782,30459,323
2019,建築物電力系統裝修人員(含水電工),零售業,699,49873,47799,2074
2019,電力機械裝修人員,零售業,1168,31887,31612,275
2019,資(通)訊設備裝修人員(含電信、電話),零售業,1824,34840,31191,3649
2019,電子設備裝修人員（不含資通訊設備）,零售業,1984,32682,32351,331
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),零售業,18188,30628,29580,1048
2019,木材處理、家具木工及有關工作人員,零售業,253,52214,42077,10137
2019,服飾打樣及剪裁人員,零售業,1197,31659,31659,— 
2019,非食品飲料產品分級及檢查人員,零售業,— ,— ,— ,— 
2019,金屬製造設備操作員(含熔煉、鑄造、輾軋、熱處理、抽製及擠型等),零售業,… ,… ,… ,… 
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),零售業,— ,— ,— ,— 
2019,塑膠製品機械操作人員,零售業,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),零售業,— ,— ,— ,— 
2019,包裝機械操作人員,零售業,— ,— ,— ,— 
2019,組裝(現場)人員,零售業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,零售業,13871,40782,38469,2313
2019,大客、貨車駕駛人員,零售業,888,48101,37574,10527
2019,推土、吊車、起重機等移運設備操作人員,零售業,334,45116,38312,6804
2019,基層技術工及勞力工,零售業,30372,31767,30024,1743
2019,清潔及家事工作人員(含建築清潔工),零售業,1317,28526,27844,682
2019,勞力工,零售業,5349,21326,21216,110
2019,理貨員,零售業,23627,34317,32148,2169
2019,廢棄物收集工及回收資源分類工,零售業,… ,… ,… ,… 
2019,廚房幫工(含速食烹調),零售業,… ,… ,… ,… 
